"Name","Value"
"Address","https://clinicasalubre.com.br/"
"URL Encoded Address","https://clinicasalubre.com.br/"
"Content Type","text/html"
"Status Code","200"
"Status","OK"
"HTTP Version","1.1"
"Indexability","Indexable"
"Size","45.3 KB"
"Title 1","Clínica Salubre - Estética e Cirurgia Plástica"
"Title 1 Length","46"
"Meta Keywords 1","Clínica de estética na Zona Leste, Cirurgia plástica na zona leste, cirurgia, plástica, procedimentos, lipoaspiração, laser, tratamentos de pele, lipoaspiração, mama, botox"
"Meta Keywords 1 Length","172"
"Meta Description 1","Site oficial da Clinica Salubre Cirurgia Plástica e Tratamentos de Estética. Informações procedimentos cirurgias e sobre diversos tratamentos."
"Meta Description 1 Length","142"
"Meta Description 1 Pixel Width","898"
"H2-1","Seja Bem-Vindo"
"H2-1 Length","14"
"Word Count","209"
"Sentence Count","60"
"Average Words Per Sentence","3,48"
"Flesch Reading Ease Score","5,36"
"Readability","Very Hard"
"Text Ratio","9,01"
"Crawl Depth","0"
"Link Score",""
"Inlinks","16"
"Unique Inlinks","1"
"Unique JS Inlinks","0"
"% of Total","1.19"
"Outlinks","136"
"Unique Outlinks","83"
"Unique JS Outlinks","0"
"External Outlinks","5"
"Unique External Outlinks","5"
"Unique External JS Outlinks","0"
"Hash","eab03bd43dc45445ac3c507404014f3d"
"Response Time","0,93"
"Last Modified","Mon, 01 Mar 2021 21:34:25 GMT"
"Form 0 Action Link","https://clinicasalubre.com.br/contato2.php"
"Form 0 Action Path Type","Path-Relative"
"Crawl Timestamp","2023-04-14 09:51:58"
